,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Ceanothus americanus,"New Jersey Tea, Wild Snowball",Shrub,1.2,4-9,F,LM,SN,DM,3,3,3,Ceanothus sanguineus
1,Ceanothus arboreus,"Catalina Mountain Lilac, Feltleaf ceanothus",Shrub,7.0,8-10,M,LM,SN,DM,0,0,2,Ceanothus sanguineus
2,Ceanothus cuneatus,"Buckbrush, Sedgeleaf buckbrush, Monterey ceanothus",Shrub,1.8,6-9,F,LM,SN,DM,2,1,2,Ceanothus sanguineus
3,Ceanothus divergens,"Cropleaf Ceanothus, Calistoga ceanothus",Shrub,1.5,7-10,,LM,SN,DM,0,0,2,Ceanothus sanguineus
4,Ceanothus fendleri,Fendler's Ceanothus,Shrub,2.0,4-8,F,LM,SN,DM,2,1,2,Ceanothus sanguineus
5,Ceanothus impressus,Santa Barbara Ceanothus,Shrub,1.5,7-9,M,LM,SN,DM,0,0,2,Ceanothus sanguineus
6,Ceanothus integerrimus,Deer Brush,Shrub,4.0,6-9,,LM,SN,DM,2,1,2,Ceanothus sanguineus
7,Ceanothus maritimus,Maritime Ceanothus,Shrub,1.0,7-10,,LM,SN,DM,0,0,3,Ceanothus sanguineus
8,Ceanothus ovatus,Smaller Red-Root,Shrub,1.0,4-8,,LM,SN,DM,2,1,2,Ceanothus sanguineus
9,Ceanothus prostratus,"Squaw Carpet, Prostrate ceanothus",Shrub,0.1,6-9,,LM,SN,DM,0,0,3,Ceanothus sanguineus
10,Ceanothus purpureus,Hollyleaf Ceanothus,Shrub,2.0,7-10,,LM,SN,DM,0,0,2,Ceanothus sanguineus
11,Ceanothus species,,Shrub,2.0,5-9,,LMH,SN,DM,0,0,2,Ceanothus sanguineus
12,Ceanothus thyrsiflorus,"Blue Brush, Blueblossom",Shrub,4.5,7-9,M,LM,SN,DM,0,0,2,Ceanothus sanguineus
